zipcode,school_district
17325,Gettysburg Area School District
17327,Southern York County School District
17329,South Western School District
17331,South Western School District
17339,West Shore School District
17340,Littlestown Area School District
17342,Dallastown Area School District
17343,Gettysburg Area School District
17344,Conewago Valley School District
17345,Northeastern York School District
17347,Northeastern York School District
17349,Southern York County School District
17350,Conewago Valley School District
17352,South Eastern School District
17353,Gettysburg Area School District
17355,Southern York County School District
17356,Red Lion Area School District
17360,Dallastown Area School District
17361,Southern York County School District
17362,Spring Grove Area School District
17363,South Eastern School District
17364,Spring Grove Area School District
17365,Northern York County School District
17366,Eastern York School District
17368,Eastern York School District
17370,West Shore School District
17371,Spring Grove Area School District
17372,Bermudian Springs School District
17401,York City School District
17402,Dallastown Area School District
17403,Dallastown Area School District
17404,Central York School District
17406,Eastern York School District
17407,Dallastown Area School District
17408,West York Area School District
17501,Ephrata Area School District
17502,Elizabethtown Area School District
17504,Lancaster School District
17505,Conestoga Valley School District
17506,Eastern Lancaster County School District
17507,Eastern Lancaster County School District
17508,Conestoga Valley School District
17509,Solanco School District
17512,Hempfield School District
17516,Penn Manor School District
17517,Cocalico School District
17518,Solanco School District
17519,Eastern Lancaster County School District
17520,Hempfield School District
17522,Ephrata Area School District
17527,Pequea Valley School District
17529,Pequea Valley School District
17532,Penn Manor School District
17534,Pequea Valley School District
17535,Pequea Valley School District
17536,Solanco School District
17538,Hempfield School District
17540,Conestoga Valley School District
17543,Warwick School District
17545,Manheim Central School District
17547,Donegal School District
17550,Donegal School District
17551,Penn Manor School District
17552,Donegal School District
17554,Hempfield School District
17555,Eastern Lancaster County School District
17557,Eastern Lancaster County School District
17560,Solanco School District
17562,Pequea Valley School District
17563,Solanco School District
17565,Penn Manor School District
17566,Solanco School District
17568,Lampeter-Strasburg School District
17569,Cocalico School District
17570,Elizabethtown Area School District
17572,Pequea Valley School District
17576,Conestoga Valley School District
17578,Cocalico School District
17579,Lampeter-Strasburg School District
17581,Eastern Lancaster County School District
17582,Penn Manor School District
17584,Lampeter-Strasburg School District
17601,Manheim Township School District
17602,Lampeter-Strasburg School District
17603,Penn Manor School District
17606,Manheim Township School District
17701,Montoursville Area School District
17702,South Williamsport Area School District
17720,Jersey Shore Area School District
17721,Jersey Shore Area School District
17723,Jersey Shore Area School District
17724,Canton Area School District
17727,Galeton Area School District
17728,Williamsport Area School District
17729,Keystone Central School District
17730,Warrior Run School District
17731,Sullivan County School District
17737,East Lycoming School District
17739,Jersey Shore Area School District
17740,Jersey Shore Area School District
17742,East Lycoming School District
17744,Williamsport Area School District
17745,Keystone Central School District
17747,Keystone Central School District
17748,Keystone Central School District
17749,Warrior Run School District
17750,Keystone Central School District
17751,Keystone Central School District
17752,Montgomery Area School District
17754,Montoursville Area School District
17756,East Lycoming School District
17758,Sullivan County School District
17760,Keystone Central School District
17762,East Lycoming School District
17763,Canton Area School District
17764,Keystone Central School District
17765,Canton Area School District
17768,Sullivan County School District
17769,Jersey Shore Area School District
17771,Southern Tioga School District
17772,Warrior Run School District
17774,East Lycoming School District
17776,Wellsboro Area School District
17777,Warrior Run School District
17778,Keystone Central School District
17779,Keystone Central School District
17801,Shikellamy School District
17810,Montgomery Area School District
17812,Midd-West School District
17813,Midd-West School District
17814,Benton Area School District
17815,Bloomsburg Area School District
17820,Southern Columbia Area School District
17821,Danville Area School District
17822,Danville Area School District
17823,Line Mountain School District
17824,Southern Columbia Area School District
17827,Selinsgrove Area School District
17829,Mifflinburg Area School District
17830,Line Mountain School District
17832,Mount Carmel Area School District
17834,Mount Carmel Area School District
17835,Mifflinburg Area School District
17836,Line Mountain School District
17837,Lewisburg Area School District
17840,Mount Carmel Area School District
17841,Mifflin County School District
17842,Midd-West School District
17844,Mifflinburg Area School District
17845,Mifflinburg Area School District
17846,Millville Area School District
17847,Milton Area School District
17850,Milton Area School District
17851,Mount Carmel Area School District
17853,Midd-West School District
17855,Mifflinburg Area School District
17856,Milton Area School District
17857,Shikellamy School District
17858,Southern Columbia Area School District
17859,Benton Area School District
17860,Shamokin Area School District
17861,Midd-West School District
17862,Midd-West School District
17864,Selinsgrove Area School District
17865,Milton Area School District
17866,Shamokin Area School District
17867,Line Mountain School District
17868,Danville Area School District
17870,Selinsgrove Area School District
17872,Line Mountain School District
17876,Selinsgrove Area School District
17878,Benton Area School District
17880,Mifflinburg Area School District
17881,Line Mountain School District
17884,Danville Area School District
17885,Mifflinburg Area School District
17886,Lewisburg Area School District
17887,Milton Area School District
17888,North Schuylkill School District
17889,Selinsgrove Area School District
17901,Minersville Area School District
17920,North Schuylkill School District
17921,North Schuylkill School District
17922,Schuylkill Haven Area School District
17923,Minersville Area School District
17925,Tamaqua Area School District
17929,Blue Mountain School District
17930,St. Clair Area School District
17931,Shenandoah Valley School District
17933,Blue Mountain School District
17934,Mahanoy Area School District
17935,North Schuylkill School District
17936,North Schuylkill School District
17938,Tri-Valley School District
17941,Tri-Valley School District
17943,North Schuylkill School District
17944,Minersville Area School District
17945,North Schuylkill School District
17946,Shenandoah Valley School District
17948,Mahanoy Area School District
17949,Mahanoy Area School District
17951,Pottsville Area School District
17952,Tamaqua Area School District
17953,St. Clair Area School District
17954,Minersville Area School District
17957,Williams Valley School District
17959,St. Clair Area School District
17960,Blue Mountain School District
17961,Blue Mountain School District
17963,Pine Grove Area School District
17964,Tri-Valley School District
17965,Pottsville Area School District
17967,North Schuylkill School District
17968,Tri-Valley School District
17970,St. Clair Area School District
17972,Blue Mountain School District
17974,Pottsville Area School District
17976,Shenandoah Valley School District
17978,Upper Dauphin Area School District
17979,Blue Mountain School District
17980,Williams Valley School District
17981,Pine Grove Area School District
17982,Tamaqua Area School District
17983,Tri-Valley School District
17985,Hazleton Area School District
18011,Brandywine Heights Area School District
18012,Palmerton Area School District
18013,Bangor Area School District
18014,Northampton Area School District
18015,Saucon Valley School District
18017,Bethlehem Area School District
18018,Bethlehem Area School District
18020,Bethlehem Area School District
18030,Palmerton Area School District
18031,Parkland School District
18032,Catasauqua Area School District
18034,Southern Lehigh School District
18035,Northampton Area School District
18036,Southern Lehigh School District
18037,Parkland School District
18038,Northampton Area School District
18040,Easton Area School District
18041,Upper Perkiomen School District
18042,Wilson Area School District
18045,Easton Area School District
18046,East Penn School District
18049,East Penn School District
18051,Northwestern Lehigh School District
18052,Whitehall-Coplay School District
18053,Northwestern Lehigh School District
18054,Upper Perkiomen School District
18055,Saucon Valley School District
18056,Upper Perkiomen School District
18058,Pleasant Valley School District
18059,Parkland School District
18062,East Penn School District
18063,Easton Area School District
18064,Nazareth Area School District
18065,Northern Lehigh School District
18066,Northwestern Lehigh School District
18067,Northampton Area School District
18069,Parkland School District
18070,Upper Perkiomen School District
18071,Palmerton Area School District
18072,Pen Argyl Area School District
18073,Upper Perkiomen School District
18074,Boyertown Area School District
18076,Upper Perkiomen School District
18077,Palisades School District
18078,Parkland School District
18079,Northern Lehigh School District
18080,Northern Lehigh School District
18081,Palisades School District
18083,Nazareth Area School District
18085,Nazareth Area School District
18086,Northampton Area School District
18087,Parkland School District
18088,Northampton Area School District
18091,Nazareth Area School District
18092,East Penn School District
18101,Allentown City School District
18102,Allentown City School District
18103,Salisbury Township School District
18104,Parkland School District
18106,Parkland School District
18109,Catasauqua Area School District
18195,Parkland School District
18201,Hazleton Area School District
18202,Hazleton Area School District
18210,Jim Thorpe Area School District
18211,Tamaqua Area School District
18212,Lehighton Area School District
18214,Mahanoy Area School District
18216,Hazleton Area School District
18218,Panther Valley School District
18219,Hazleton Area School District
18220,Mahanoy Area School District
18221,Hazleton Area School District
18222,Hazleton Area School District
18223,Hazleton Area School District
18224,Hazleton Area School District
18225,Hazleton Area School District
18229,Jim Thorpe Area School District
18230,Hazleton Area School District
18231,Hazleton Area School District
18232,Panther Valley School District
18234,Hazleton Area School District
18235,Lehighton Area School District
18237,Hazleton Area School District
18239,Hazleton Area School District
18240,Panther Valley School District
18241,Hazleton Area School District
18242,Hazleton Area School District
18244,Lehighton Area School District
18245,Tamaqua Area School District
18246,Hazleton Area School District
18248,Hazleton Area School District
18249,Hazleton Area School District
18250,Panther Valley School District
18252,Tamaqua Area School District
18254,Hazleton Area School District
18255,Weatherly Area School District
18256,Hazleton Area School District
18301,East Stroudsburg Area School District
18302,East Stroudsburg Area School District
18321,Pocono Mountain School District
18322,Pleasant Valley School District
18323,Pocono Mountain School District
18324,East Stroudsburg Area School District
18325,Pocono Mountain School District
18326,Pocono Mountain School District
18327,Stroudsburg Area School District
18328,East Stroudsburg Area School District
18330,Pleasant Valley School District
18331,Pleasant Valley School District
18332,Pocono Mountain School District
18333,Pleasant Valley School District
18334,Pocono Mountain School District
18335,East Stroudsburg Area School District
18336,Delaware Valley School District
18337,Delaware Valley School District
18340,Delaware Valley School District
18342,Pocono Mountain School District
18343,Bangor Area School District
18344,Pocono Mountain School District
18346,Pocono Mountain School District
18347,Pocono Mountain School District
18349,Pocono Mountain School District
18350,Pocono Mountain School District
18351,Bangor Area School District
18353,Pleasant Valley School District
18354,Stroudsburg Area School District
18355,Pocono Mountain School District
18356,East Stroudsburg Area School District
18357,Pocono Mountain School District
18360,Stroudsburg Area School District
18370,Pocono Mountain School District
18371,East Stroudsburg Area School District
18372,Pocono Mountain School District
18403,Valley View School District
18405,Wayne Highlands School District
18407,Lakeland School District
18411,Abington Heights School District
18413,Mountain View School District
18414,Lackawanna Trail School District
18415,Wayne Highlands School District
18417,Wayne Highlands School District
18419,Lackawanna Trail School District
18420,Lackawanna Trail School District
18421,Mountain View School District
18424,North Pocono School District
18425,Wallenpaupack Area School District
18426,Wallenpaupack Area School District
18428,Wallenpaupack Area School District
18430,Forest City Regional School District
18431,Wayne Highlands School District
18433,Lakeland School District
18434,Valley View School District
18435,Wallenpaupack Area School District
18436,Western Wayne School District
18437,Wayne Highlands School District
18438,Wallenpaupack Area School District
18439,Wayne Highlands School District
18440,Lackawanna Trail School District
18441,Mountain View School District
18443,Wayne Highlands School District
18444,North Pocono School District
18445,Wallenpaupack Area School District
18446,Mountain View School District
18447,Lakeland School District
18451,Wallenpaupack Area School District
18452,Valley View School District
18453,Forest City Regional School District
18454,Wayne Highlands School District
18455,Wayne Highlands School District
18456,Western Wayne School District
18457,Wallenpaupack Area School District
18458,Delaware Valley School District
18460,Wallenpaupack Area School District
18461,Wayne Highlands School District
18462,Wayne Highlands School District
18463,Western Wayne School District
18464,Wallenpaupack Area School District
18465,Susquehanna Community School District
18466,Pocono Mountain School District
18469,Wayne Highlands School District
18470,Forest City Regional School District
18471,Abington Heights School District
18472,Western Wayne School District
18473,Wallenpaupack Area School District
18503,Scranton School District
18504,Scranton School District
18505,Scranton School District
18507,Riverside School District
18508,Scranton School District
18509,Scranton School District
18510,Scranton School District
18512,Dunmore School District
18517,Riverside School District
18518,Old Forge School District
18519,Mid Valley School District
18602,Wilkes-Barre Area School District
18603,Berwick Area School District
18610,Pocono Mountain School District
18612,Dallas School District
18614,Sullivan County School District
18615,Tunkhannock Area School District
18616,Sullivan County School District
18617,Greater Nanticoke Area School District
18618,Lake-Lehman School District
18619,Sullivan County School District
18621,Northwest Area School District
18622,Northwest Area School District
18623,Wyalusing Area School District
18624,Jim Thorpe Area School District
18625,Tunkhannock Area School District
18626,Sullivan County School District
18627,Lake-Lehman School District
18628,Sullivan County School District
18629,Tunkhannock Area School District
18630,Elk Lake School District
18631,Central Columbia School District
18632,Sullivan County School District
18634,Greater Nanticoke Area School District
18635,Berwick Area School District
18636,Lake-Lehman School District
18640,Pittston Area School District
18641,Pittston Area School District
18642,Pittston Area School District
18643,Wyoming Area School District
18644,Dallas School District
18651,Greater Nanticoke Area School District
18655,Northwest Area School District
18656,Lake-Lehman School District
18657,Tunkhannock Area School District
18660,Crestwood School District
18661,Weatherly Area School District
18701,Wilkes-Barre Area School District
18702,Wilkes-Barre Area School District
18704,Wyoming Valley West School District
18705,Wilkes-Barre Area School District
18706,Hanover Area School District
18707,Crestwood School District
18708,Lake-Lehman School District
18709,Wyoming Valley West School District
18801,Montrose Area School District
18810,Athens Area School District
18812,Montrose Area School District
18814,Troy Area School District
18816,Elk Lake School District
18817,Athens Area School District
18818,Montrose Area School District
18820,Mountain View School District
18821,Blue Ridge School District
18822,Montrose Area School District
18823,Mountain View School District
18824,Mountain View School District
18825,Blue Ridge School District
18826,Mountain View School District
18828,Elk Lake School District
18829,Northeast Bradford School District
18830,Montrose Area School District
18831,Athens Area School District
18832,Towanda Area School District
18833,Wyalusing Area School District
18834,Blue Ridge School District
18837,Northeast Bradford School District
18840,Athens Area School District
18842,Mountain View School District
18843,Montrose Area School District
18844,Elk Lake School District
18845,Wyalusing Area School District
18846,Wyalusing Area School District
18847,Susquehanna Community School District
18848,Towanda Area School District
18850,Athens Area School District
18851,Northeast Bradford School District
18853,Wyalusing Area School District
18854,Towanda Area School District
18901,Central Bucks School District
18902,Central Bucks School District
18912,Central Bucks School District
18913,New Hope-Solebury School District
18914,Central Bucks School District
18915,North Penn School District
18917,Pennridge School District
18920,Palisades School District
18921,Palisades School District
18923,Central Bucks School District
18925,Central Bucks School District
18927,Pennridge School District
18929,Central Bucks School District
18930,Palisades School District
18932,Pennridge School District
18933,New Hope-Solebury School District
18935,Quakertown Community School District
18936,North Penn School District
18938,New Hope-Solebury School District
18940,Council Rock School District
18942,Palisades School District
18944,Pennridge School District
18946,Council Rock School District
18947,Central Bucks School District
18950,Palisades School District
18951,Quakertown Community School District
18954,Council Rock School District
18955,Quakertown Community School District
18960,Pennridge School District
18962,Pennridge School District
18964,Souderton Area School District
18966,Council Rock School District
18969,Souderton Area School District
18970,Quakertown Community School District
18972,Palisades School District
18974,Centennial School District
18976,Central Bucks School District
18977,Council Rock School District
18980,Council Rock School District
19001,Abington School District
19002,Wissahickon School District
19003,Haverford Township School District
19004,Lower Merion School District
19006,Lower Moreland Township School District
19007,Bristol Township School District
19008,Marple Newtown School District
19009,Bryn Athyn School District
19010,Radnor Township School District
19012,Cheltenham School District
19013,Chester-Upland School District
19014,Penn-Delco School District
19015,Penn-Delco School District
19017,Garnet Valley School District
19018,Upper Darby School District
19020,Bensalem Township School District
19021,Bristol Township School District
19022,Ridley School District
19023,William Penn School District
19025,Upper Dublin School District
19026,Upper Darby School District
19027,Cheltenham School District
19029,Interboro School District
19030,Pennsbury School District
19031,Colonial School District
19032,Southeast Delco School District
19033,Ridley School District
19034,Colonial School District
19035,Lower Merion School District
19036,Interboro School District
19038,Springfield Township School District
19040,Upper Moreland Township School District
19041,Haverford Township School District
19043,Ridley School District
19044,Hatboro-Horsham School District
19046,Abington School District
19047,Neshaminy School District
19050,William Penn School District
19052,Rose Tree Media School District
19053,Neshaminy School District
19054,Pennsbury School District
19055,Bristol Township School District
19056,Neshaminy School District
19057,Bristol Township School District
19060,Garnet Valley School District
19061,Chichester School District
19063,Rose Tree Media School District
19064,Springfield School District
19066,Lower Merion School District
19067,Pennsbury School District
19070,Ridley School District
19072,Lower Merion School District
19073,Marple Newtown School District
19074,Interboro School District
19075,Springfield Township School District
19076,Interboro School District
19078,Ridley School District
19079,Southeast Delco School District
19081,Wallingford-Swarthmore School District
19082,Upper Darby School District
19083,Haverford Township School District
19085,Radnor Township School District
19086,Wallingford-Swarthmore School District
19087,Tredyffrin-Easttown School District
19090,Upper Moreland Township School District
19094,Ridley School District
19095,Cheltenham School District
19096,Lower Merion School District
19102,Philadelphia City School District
19103,Philadelphia City School District
19104,Philadelphia City School District
19106,Philadelphia City School District
19107,Philadelphia City School District
19108,Philadelphia City School District
19109,Philadelphia City School District
19111,Philadelphia City School District
19112,Philadelphia City School District
19113,Interboro School District
19114,Philadelphia City School District
19115,Philadelphia City School District
19116,Philadelphia City School District
19118,Philadelphia City School District
19119,Philadelphia City School District
19120,Philadelphia City School District
19121,Philadelphia City School District
19122,Philadelphia City School District
19123,Philadelphia City School District
19124,Philadelphia City School District
19125,Philadelphia City School District
19126,Philadelphia City School District
19127,Philadelphia City School District
19128,Philadelphia City School District
19129,Philadelphia City School District
19130,Philadelphia City School District
19131,Philadelphia City School District
19132,Philadelphia City School District
19133,Philadelphia City School District
19134,Philadelphia City School District
19135,Philadelphia City School District
19136,Philadelphia City School District
19137,Philadelphia City School District
19138,Philadelphia City School District
19139,Philadelphia City School District
19140,Philadelphia City School District
19141,Philadelphia City School District
19142,Philadelphia City School District
19143,Philadelphia City School District
19144,Philadelphia City School District
19145,Philadelphia City School District
19146,Philadelphia City School District
19147,Philadelphia City School District
19148,Philadelphia City School District
19149,Philadelphia City School District
19150,Philadelphia City School District
19151,Philadelphia City School District
19152,Philadelphia City School District
19153,Philadelphia City School District
19154,Philadelphia City School District
19301,Tredyffrin-Easttown School District
19310,Octorara Area School District
19311,Kennett Consolidated School District
19312,Tredyffrin-Easttown School District
19316,Coatesville Area School District
19317,Unionville-Chadds Ford School District
19319,West Chester Area School District
19320,Coatesville Area School District
19330,Octorara Area School District
19333,Tredyffrin-Easttown School District
19335,Downingtown Area School District
19341,West Chester Area School District
19342,Garnet Valley School District
19343,Downingtown Area School District
19344,Twin Valley School District
19345,Great Valley School District
19348,Unionville-Chadds Ford School District
19350,Avon Grove School District
19352,Avon Grove School District
19355,Great Valley School District
19358,Coatesville Area School District
19362,Oxford Area School District
19363,Oxford Area School District
19365,Octorara Area School District
19367,Coatesville Area School District
19369,Coatesville Area School District
19372,Coatesville Area School District
19373,West Chester Area School District
19374,Kennett Consolidated School District
19375,Unionville-Chadds Ford School District
19380,West Chester Area School District
19382,West Chester Area School District
19383,West Chester Area School District
19390,Avon Grove School District
19401,Norristown Area School District
19403,Methacton School District
19405,Upper Merion Area School District
19406,Upper Merion Area School District
19422,Wissahickon School District
19425,Downingtown Area School District
19426,Perkiomen Valley School District
19428,Colonial School District
19435,Boyertown Area School District
19436,Wissahickon School District
19437,Wissahickon School District
19438,Souderton Area School District
19440,North Penn School District
19442,Phoenixville Area School District
19444,Colonial School District
19446,North Penn School District
19453,Spring-Ford Area School District
19454,North Penn School District
19456,Spring-Ford Area School District
19457,Owen J. Roberts School District
19460,Phoenixville Area School District
19462,Colonial School District
19464,Pottsgrove School District
19465,Owen J. Roberts School District
19468,Spring-Ford Area School District
19472,Boyertown Area School District
19473,Perkiomen Valley School District
19474,Perkiomen Valley School District
19475,Owen J. Roberts School District
19477,Wissahickon School District
19490,Methacton School District
19492,Perkiomen Valley School District
19501,Cocalico School District
19503,Boyertown Area School District
19504,Boyertown Area School District
19505,Boyertown Area School District
19506,Tulpehocken Area School District
19507,Tulpehocken Area School District
19508,Twin Valley School District
19510,Fleetwood Area School District
19511,Kutztown Area School District
19512,Boyertown Area School District
19516,Schuylkill Valley School District
19518,Daniel Boone Area School District
19520,Owen J. Roberts School District
19522,Fleetwood Area School District
19523,Twin Valley School District
19525,Boyertown Area School District
19526,Hamburg Area School District
19529,Kutztown Area School District
19530,Kutztown Area School District
19533,Schuylkill Valley School District
19534,Kutztown Area School District
19535,Oley Valley School District
19536,Kutztown Area School District
19538,Kutztown Area School District
19539,Brandywine Heights Area School District
19540,Governor Mifflin School District
19541,Schuylkill Valley School District
19543,Twin Valley School District
19544,Tulpehocken Area School District
19545,Boyertown Area School District
19547,Oley Valley School District
19549,Schuylkill Haven Area School District
19550,Tulpehocken Area School District
19551,Conrad Weiser Area School District
19554,Hamburg Area School District
19555,Hamburg Area School District
19559,Hamburg Area School District
19560,Muhlenberg School District
19562,Brandywine Heights Area School District
19564,Fleetwood Area School District
19565,Conrad Weiser Area School District
19567,Conrad Weiser Area School District
19601,Reading School District
19602,Reading School District
19604,Reading School District
19605,Schuylkill Valley School District
19606,Exeter Township School District
19607,Governor Mifflin School District
19608,Wilson School District
19609,Wilson School District
19610,Wilson School District
19611,Reading School District
19701,Colonial School District
19702,Christina School District
19703,Brandywine School District
19706,Colonial School District
19707,Red Clay Consolidated School District
19709,Appoquinimink School District
19710,Red Clay Consolidated School District
19711,Christina School District
19713,Christina School District
19716,Christina School District
19717,Christina School District
19720,Colonial School District
19730,Appoquinimink School District
19731,Colonial School District
19732,Red Clay Consolidated School District
19733,Colonial School District
19734,Appoquinimink School District
19735,Red Clay Consolidated School District
19736,Red Clay Consolidated School District
19801,Christina School District
19802,Brandywine School District
19803,Brandywine School District
19804,Red Clay Consolidated School District
19805,Red Clay Consolidated School District
19806,Red Clay Consolidated School District
19807,Red Clay Consolidated School District
19808,Red Clay Consolidated School District
19809,Brandywine School District
19810,Brandywine School District
19901,Capital School District
19902,Caesar Rodney School District
19904,Capital School District
19930,Indian River School District
19931,Laurel School District
19933,Woodbridge School District
19934,Caesar Rodney School District
19936,Capital School District
19938,Smyrna School District
19939,Indian River School District
19940,Delmar School District
19941,Milford School District
19943,Lake Forest School District
19944,Indian River School District
19945,Indian River School District
19946,Lake Forest School District
19947,Indian River School District
19950,Woodbridge School District
19951,Cape Henlopen School District
19952,Lake Forest School District
19953,Capital School District
19954,Milford School District
19955,Smyrna School District
19956,Laurel School District
19958,Cape Henlopen School District
19960,Milford School District
19962,Caesar Rodney School District
19963,Milford School District
19964,Caesar Rodney School District
19966,Indian River School District
19967,Indian River School District
19968,Cape Henlopen School District
19970,Indian River School District
19971,Cape Henlopen School District
19973,Seaford School District
19975,Indian River School District
19977,Smyrna School District
19979,Lake Forest School District
19980,Caesar Rodney School District
20001,District of Columbia Public Schools
20002,District of Columbia Public Schools
20003,District of Columbia Public Schools
20004,District of Columbia Public Schools
20005,District of Columbia Public Schools
20006,District of Columbia Public Schools
20007,District of Columbia Public Schools
20008,District of Columbia Public Schools
20009,District of Columbia Public Schools
20010,District of Columbia Public Schools
20011,District of Columbia Public Schools
20012,District of Columbia Public Schools
20015,District of Columbia Public Schools
20016,District of Columbia Public Schools
20017,District of Columbia Public Schools
20018,District of Columbia Public Schools
20019,District of Columbia Public Schools
20020,District of Columbia Public Schools
20024,District of Columbia Public Schools
20032,District of Columbia Public Schools
20036,District of Columbia Public Schools
20037,District of Columbia Public Schools
20045,District of Columbia Public Schools
20052,District of Columbia Public Schools
20057,District of Columbia Public Schools
20059,District of Columbia Public Schools
20064,District of Columbia Public Schools
20105,Loudoun County Public Schools
20106,Rappahannock County Public Schools
20109,Prince William County Public Schools
20110,Manassas City Public Schools
20111,Prince William County Public Schools
20112,Prince William County Public Schools
20115,Fauquier County Public Schools
20117,Loudoun County Public Schools
20119,Fauquier County Public Schools
20120,Fairfax County Public Schools
20121,Fairfax County Public Schools
20124,Fairfax County Public Schools
20129,Loudoun County Public Schools
20130,Clarke County Public Schools
20132,Loudoun County Public Schools
20135,Clarke County Public Schools
20136,Prince William County Public Schools
20137,Fauquier County Public Schools
20141,Loudoun County Public Schools
20143,Prince William County Public Schools
20144,Fauquier County Public Schools
20147,Loudoun County Public Schools
20148,Loudoun County Public Schools
20151,Fairfax County Public Schools
20152,Loudoun County Public Schools
20155,Prince William County Public Schools
20158,Loudoun County Public Schools
20164,Loudoun County Public Schools
20165,Loudoun County Public Schools
20166,Loudoun County Public Schools
20169,Prince William County Public Schools
20170,Fairfax County Public Schools
20171,Fairfax County Public Schools
20175,Loudoun County Public Schools
20176,Loudoun County Public Schools
20180,Loudoun County Public Schools
20181,Prince William County Public Schools
20184,Loudoun County Public Schools
20186,Fauquier County Public Schools
20187,Fauquier County Public Schools
20190,Fairfax County Public Schools
20191,Fairfax County Public Schools
20194,Fairfax County Public Schools
20197,Loudoun County Public Schools
20198,Fauquier County Public Schools
20204,District of Columbia Public Schools
20220,District of Columbia Public Schools
20230,District of Columbia Public Schools
20240,District of Columbia Public Schools
20245,District of Columbia Public Schools
20250,District of Columbia Public Schools
20260,District of Columbia Public Schools
20317,District of Columbia Public Schools
20319,District of Columbia Public Schools
20373,District of Columbia Public Schools
20388,District of Columbia Public Schools
20390,District of Columbia Public Schools
20408,District of Columbia Public Schools
20415,District of Columbia Public Schools
20418,District of Columbia Public Schools
20422,District of Columbia Public Schools
20427,District of Columbia Public Schools
20431,District of Columbia Public Schools
20510,District of Columbia Public Schools
20515,District of Columbia Public Schools
20520,District of Columbia Public Schools
20530,District of Columbia Public Schools
20535,District of Columbia Public Schools
20540,District of Columbia Public Schools
20542,District of Columbia Public Schools
20551,District of Columbia Public Schools
20560,District of Columbia Public Schools
20565,District of Columbia Public Schools
20566,District of Columbia Public Schools
20591,District of Columbia Public Schools
20601,Charles County Public Schools
20602,Charles County Public Schools
20603,Charles County Public Schools
20606,St. Marys County Public Schools
20607,Prince George's County Public Schools
20608,Prince George's County Public Schools
20609,St. Marys County Public Schools
20611,Charles County Public Schools
20612,Charles County Public Schools
20613,Prince George's County Public Schools
20615,Calvert County Public Schools
20616,Charles County Public Schools
20617,Charles County Public Schools
20618,St. Marys County Public Schools
20619,St. Marys County Public Schools
20620,St. Marys County Public Schools
20621,St. Marys County Public Schools
20622,Charles County Public Schools
20623,Prince George's County Public Schools
20624,St. Marys County Public Schools
20625,Charles County Public Schools
20626,St. Marys County Public Schools
20628,St. Marys County Public Schools
20629,Calvert County Public Schools
20630,St. Marys County Public Schools
20632,Charles County Public Schools
20634,St. Marys County Public Schools
20636,St. Marys County Public Schools
20637,Charles County Public Schools
20639,Calvert County Public Schools
20640,Charles County Public Schools
20645,Charles County Public Schools
20646,Charles County Public Schools
20650,St. Marys County Public Schools
20653,St. Marys County Public Schools
20656,St. Marys County Public Schools
20657,Calvert County Public Schools
20658,Charles County Public Schools
20659,St. Marys County Public Schools
20660,St. Marys County Public Schools
20661,Charles County Public Schools
20662,Charles County Public Schools
20664,Charles County Public Schools
20667,St. Marys County Public Schools
20670,St. Marys County Public Schools
20674,St. Marys County Public Schools
20675,Charles County Public Schools
20676,Calvert County Public Schools
20677,Charles County Public Schools
20678,Calvert County Public Schools
20680,St. Marys County Public Schools
20684,St. Marys County Public Schools
20685,Calvert County Public Schools
20686,St. Marys County Public Schools
20687,St. Marys County Public Schools
20688,Calvert County Public Schools
20689,Calvert County Public Schools
20690,St. Marys County Public Schools
20692,St. Marys County Public Schools
20693,Charles County Public Schools
20695,Charles County Public Schools
20701,Howard County Public Schools
20705,Prince George's County Public Schools
20706,Prince George's County Public Schools
20707,Prince George's County Public Schools
20708,Prince George's County Public Schools
20710,Prince George's County Public Schools
20711,Anne Arundel County Public Schools
20712,Prince George's County Public Schools
20714,Anne Arundel County Public Schools
20715,Prince George's County Public Schools
20716,Prince George's County Public Schools
20720,Prince George's County Public Schools
20721,Prince George's County Public Schools
20722,Prince George's County Public Schools
20723,Howard County Public Schools
20724,Anne Arundel County Public Schools
20732,Calvert County Public Schools
20733,Anne Arundel County Public Schools
20735,Prince George's County Public Schools
20736,Calvert County Public Schools
20737,Prince George's County Public Schools
20740,Prince George's County Public Schools
20742,Prince George's County Public Schools
20743,Prince George's County Public Schools
20744,Prince George's County Public Schools
20745,Prince George's County Public Schools
20746,Prince George's County Public Schools
20747,Prince George's County Public Schools
20748,Prince George's County Public Schools
20751,Anne Arundel County Public Schools
20754,Calvert County Public Schools
20755,Anne Arundel County Public Schools
20758,Anne Arundel County Public Schools
20759,Howard County Public Schools
20762,Prince George's County Public Schools
20763,Howard County Public Schools
20764,Anne Arundel County Public Schools
20765,Anne Arundel County Public Schools
20769,Prince George's County Public Schools
20770,Prince George's County Public Schools
20771,Prince George's County Public Schools
20772,Prince George's County Public Schools
20774,Prince George's County Public Schools
20776,Anne Arundel County Public Schools
20777,Howard County Public Schools
20778,Anne Arundel County Public Schools
20779,Anne Arundel County Public Schools
20781,Prince George's County Public Schools
20782,Prince George's County Public Schools
20783,Prince George's County Public Schools
20784,Prince George's County Public Schools
20785,Prince George's County Public Schools
20794,Howard County Public Schools
20812,Montgomery County Public Schools
20814,Montgomery County Public Schools
20815,Montgomery County Public Schools
20816,Montgomery County Public Schools
20817,Montgomery County Public Schools
